 Numero_de_identificacion,Ejercicio, Mes, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_vialidad, Pista, Juegos_de_parque, Aparatos_de_ejercicio, Cancha, Bebedores, Botes_de_basura, Cantidad_de_botes, Georreferencia, Nota
MGNL0063,2021,SEPTIEMBRE,FRACCIONAMIENTO,VERANDA SECTOR OLIMPO,CALLE,JARDIN DE PARTERRE,SI,SI,SI,SI,NO,SI,3,"25.780836, -100.467449",
MGNL0205,2021,SEPTIEMBRE,FRACCIONAMIENTO,Paseo de Capellania,CALLE,Maravillas / Av. Maravillas,SI,SI,SI,SI,NO,NO,0,"25.799548, -100.612748",
MGNL0066,2021,SEPTIEMBRE,FRACCIONAMIENTO,VERANDA SECTOR MIRABELL,CALLE,AV VERANDA,SI,SI,SI,NO,NO,SI,2,"25.777686, -100.467985",
MGNL0210,2021,SEPTIEMBRE,FRACCIONAMIENTO,Paseo de Las Torres,AVENIDA,Av. De las Torres / Paseo de los Alamos,SI,SI,NO,SI,NO,SI,6,"25.793676, -100.592431",
MGNL0073,2021,SEPTIEMBRE,FRACCIONAMIENTO,CUMBRES ANDARA SECTOR CANTABRIA,CALLE,ALMERIA,SI,SI,SI,SI,SI,SI,12,"25.728864, -100.396657",
MGNL0215,2021,SEPTIEMBRE,FRACCIONAMIENTO,Paseo del Nogal,CALLE,Jazmin / Girasol,NO,SI,NO,NO,NO,NO,0,"25.798365, -100.589606",
MGNL0074,2021,SEPTIEMBRE,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR 4,CALLE,ASTURIAS Y SANTANDER,SI,SI,SI,SI,SI,SI,8,"25.805125, -100.486659",
MGNL0217,2021,SEPTIEMBRE,FRACCIONAMIENTO,Paseo del Nogal,CALLE,Margarita / Amapola,NO,SI,SI,NO,NO,SI,3 Dobles,"25.797114, -100.592862",
MGNL0078,2021,SEPTIEMBRE,FRACCIONAMIENTO,LAS LOMAS SECTOR BOSQUES,CALLE,BOSQUE ESCOCES,SI,SI,SI,SI,NO,SI,8,"25.7770258, -100.452114",
MGNL0219,2021,SEPTIEMBRE,FRACCIONAMIENTO,Portal de Lincoln,AVENIDA,Av. John F Kennedy / Av. Abraham Lincoln,SI,SI,NO,SI,NO,SI,4,"25.802224, -100.541982",
