FOLIO ,AÑO,MES,FECHA,DIA ,HORA ,TIPO DE ACCIDENTE ,RESOLUCION,ORIGEN REPORTE,TIPO ASENTAMIENTO,NOMBRE ASENTAMIENTO,TIPO VIALIDAD,NOMBRE VIALIDAD ,GEORREFERENCIA
18232,2021,ENERO,2021-01-09,SÁBADO,10:18:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CIUDAD UNIVERSITARIA,AVENIDA,FIDEL VZZ Y BARRAGAN,"25.729245, -100.316883"
23316,2021,AGOSTO,2021-08-05,JUEVES,18:40:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,VALLE SOL,AVENIDA,MORENITA MIA Y SENDERO,"25.769002, -100.278801"
24202,2021,AGOSTO,2021-08-05,JUEVES,17:55:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,LAS MISIONES,AVENIDA,MANUEL L BARRAGAN Y SENDERO,"25.765865, -100.305457"
18103,2021,ENERO,2021-01-09,SÁBADO,16:14:00,LATERAL,FINIQUITADO,C4,COLONIA,ANAHUAC,AVENIDA,FIDEL VELAZQUEZ Y MANUEL L BARRAGAN,"25.729245, -100.316883"
24203,2021,AGOSTO,2021-08-05,JUEVES,19:50:00,DIVERSO,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,MANUEL L BARRAGAN Y GUILLERMO VALENCIA,"25.740027, -100.313005"
23931,2021,AGOSTO,2021-08-05,JUEVES,19:08:00,REVERSA,FINIQUITADO,911,COLONIA,LAS PUENTES,AVENIDA,PICO BOLIVAR Y SIERRA MIXTECA,"25.741914, -100.270523"
18033,2021,ENERO,2021-01-09,SÁBADO,14:49:00,CRUCERO,FINIQUITADO,RUTINA,COLONIA,CHAPULTEPEC,AVENIDA,CENTRAL Y TORREON,"25.741797, -100.299745"
23495,2021,AGOSTO,2021-08-06,VIERNES,08:51:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,MIGUEL ALEMAN,AVENIDA,MIGUEL ALEMAN Y LAS TORRES,"25.723968, -100.222783"
22593,2021,AGOSTO,2021-08-05,JUEVES,19:50:00,CRUCERO,FINIQUITADO,911,COLONIA,TORRES DE SANTO DOMINGO,CALLE,JESUS DIONICIO GONZALEZ Y ACERO,"25.756057, -100.247784"
18185,2021,ENERO,2021-01-09,SÁBADO,11:59:00,REVERSA,FINIQUITADO,RUTINA,COLONIA,FUTURO NOGALAR,AVENIDA,LOPEZ MATEOS E ISLAS DEL SUR,"25.711711, -100.276915"
20521,2021,AGOSTO,2021-08-06,VIERNES,11:28:00,ALCANCE,FINIQUITADO,C4,COLONIA,ANAHUAC,AVENIDA,FIDEL VELAZQUEZ Y FRAY LUIS DE LEON,"25.730775, -100.309218"
21829,2021,AGOSTO,2021-08-05,JUEVES,21:05:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,CASA BELLA,AVENIDA,UNIVERSIDAD Y LERDO DE TEJADA,"25.758607, -100.295923"
18034,2021,ENERO,2021-01-09,SÁBADO,18:49:00,CRUCERO,FINIQUITADO,RUTINA,COLONIA,CABECERA MUNICIPAL,CALLE,AQUILES SERDAN E IGNACIO ALLENDE,"25.761895, -100.292875"
23099,2021,AGOSTO,2021-08-06,VIERNES,13:42:00,CRUCERO,FINIQUITADO,911,COLONIA,LA NOGALERA,AVENIDA,REPUBLICA MEXICANA Y SENDERO,"25.76976, -100.272451"
21750,2021,AGOSTO,2021-08-05,JUEVES,22:32:00,ALCANCE Y PROYECCION,FINIQUITADO,RUTINA,COLONIA,MARGARITA SALAZAR,AVENIDA,LOPEZ MATEOS Y CASA BLANCA,"25.736241, -100.243574"
3941,2021,ENERO,2021-01-09,SÁBADO,11:59:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CONST DE QUERETARO,AVENIDA,ANT CAM APODACA Y ROBERTO G SADA,"25.716075, -100.264081"
23691,2021,AGOSTO,2021-08-06,VIERNES,14:33:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,CALLE,LOPE DE VEGA Y GARCILAZO DE LA VEGA,"25.738763, -100.304581"
23717,2021,AGOSTO,2021-08-06,VIERNES,07:21:00,ALCANCE,PERITAJES,RUTINA,COLONIA,LAS MISIONES,AVENIDA,SENDERO Y MANUEL L BARRAGAN,"25.765865, -100.305457"
17182,2021,ENERO,2021-01-09,SÁBADO,09:50:00,ALCANCE,FINIQUITADO,RUTINA,RESIDENCIAL,RESIDENCIAL ANAHUAC,AVENIDA,ALMAZAN Y BARRAGAN,"25.737044, -100.314276"
23692,2021,AGOSTO,2021-08-06,VIERNES,16:03:00,LATERAL,FINIQUITADO,RUTINA,RESIDENCIAL,RESIDENCIAL ANAHUAC,AVENIDA,MANUEL L BARRAGAN  Y FRAY  BARTOLOME DE LAS CASAS,"25.742423, -100.312169"
24016,2021,AGOSTO,2021-08-06,VIERNES,12:04:00,ALCANCE,FINIQUITADO,911,COLONIA,LAS PUENTES,AVENIDA,SANTO DOMINGO Y MONTES BERNESES,"25.752806, -100.266947"
18153,2021,ENERO,2021-01-10,DOMINGO,03:10:00,ESTRELLAMIENTO,PERITAJES,RUTINA,COLONIA,HDA LOS MORALES,AVENIDA,ROMULO GARZA Y LAS FLORES,"25.719409, -100.236062"
24051,2021,AGOSTO,2021-08-06,VIERNES,16:20:00,ESTRELLAMIENTO,FINIQUITADO,RUTINA,COLONIA,SALVADOR ALLENDE,AVENIDA,LOPEZ MATEOS Y DIAZ ORDAZ,"25.715006, -100.272155"
23118,2021,AGOSTO,2021-08-06,VIERNES,14:38:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CABECERA MUNICIPAL,AVENIDA,JUAREZ  Y IGNACIO LOPEZ RAYON,"25.753782, -100.295799"
18229,2021,ENERO,2021-01-10,DOMINGO,07:28:00,ESTRELLAMIENTO,FINIQUITADO,RUTINA,COLONIA,INDUSTRIAL NOGALAR,AVENIDA,NOGALAR Y LOPEZ MATEOS,"25.711209, -100.277666"
