 Clave_de_zona, Ejercicio, Mes, Concesionario, Numeros_de_camión, Nombres_de_asentamientos, Turno, Dias, Horario_de_inicio, Horario_de_fin, Perimetro_de_zona, Nota
III,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,30,COLINAS DE GUADALUPE,VESPERTINO,LUNES-MIERCOLES-VIERNES,14:00:00,24:00:00,"25.6521871, -100.2227502",
III,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,9,COLLADOS DE GUADALUPE,VESPERTINO,LUNES-MIERCOLES-VIERNES,14:00:00,24:00:00,"25.6487426, -100.2128682",
III,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,18,CONTRY LOS ENCINOS,VESPERTINO,LUNES-MIERCOLES-VIERNES,14:00:00,24:00:00,"25.6589642, -100.2448341",
III,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,30,EL PEÑON,VESPERTINO,LUNES-MIERCOLES-VIERNES,14:00:00,24:00:00,"25.640154, -100.2087277",
III,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,30,ENCINOS DE LA SILLA,VESPERTINO,LUNES-MIERCOLES-VIERNES,14:00:00,24:00:00,"25.6500565, -100.2236292",
III,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,22,ESMERALDA,VESPERTINO,LUNES-MIERCOLES-VIERNES,14:00:00,24:00:00,"25.6778142, -100.2733554",
III,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,28,EXPOSICION,VESPERTINO,LUNES-MIERCOLES-VIERNES,14:00:00,24:00:00,"25.6765404, -100.2399478",
III,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,29,FELIPE ANGELES,VESPERTINO,LUNES-MIERCOLES-VIERNES,14:00:00,24:00:00,"25.6738576, -100.2385531",
III,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,12,FRACC. RIVIERAS DEL CONTRY,VESPERTINO,LUNES-MIERCOLES-VIERNES,14:00:00,24:00:00,"25.6550233, -100.2735772",
III,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,27,IGNACIO ALTAMIRANO,VESPERTINO,LUNES-MIERCOLES-VIERNES,14:00:00,24:00:00,"25.6510219, -100.2696571",
III,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,31,JOSE LUIS MORA,VESPERTINO,LUNES-MIERCOLES-VIERNES,14:00:00,24:00:00,"25.6622852, -100.2225419",
III,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,11,LA PASTORA,VESPERTINO,LUNES-MIERCOLES-VIERNES,14:00:00,24:00:00,"25.6682683, -100.2613571",
III,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,25,LA QUINTA,VESPERTINO,LUNES-MIERCOLES-VIERNES,14:00:00,24:00:00,"25.6683592, -100.244574",
