 Clave_de_zona, Ejercicio, Mes, Concesionario, Numeros_de_camión, Nombres_de_asentamientos, Turno, Dias, Horario_de_inicio, Horario_de_fin, Perimetro_de_zona, Nota
47,2021,OCTUBRE-DICIEMBRE,DIRECTAMENTE MUNICIPIO,383,"TERRERO DE LOS CAVAZOS, CUMBRES DE SANTIAGO, LATERAL DE CARRETERA",MATUTINO Y VESPERTINO,JUEVES,7:00am,8:30pm,"25.442787478226396, -100.16513349913318",
53,2021,OCTUBRE-DICIEMBRE,DIRECTAMENTE MUNICIPIO,374,"FIERROS, VILLA DEL ROSARIO",MATUTINO Y VESPERTINO,VIERNES,7:00am,8:30pm,"25.415167608584426, -100.15126140540549",
55,2021,OCTUBRE-DICIEMBRE,DIRECTAMENTE MUNICIPIO,311,LA BOCA,MATUTINO Y VESPERTINO,VIERNES,7:00am,8:30pm,"25.448633685007852, -100.15522875416187",
57,2021,OCTUBRE-DICIEMBRE,DIRECTAMENTE MUNICIPIO,382,COL. SAN JUAN,MATUTINO Y VESPERTINO,VIERNES,7:00am,8:30pm,"25.450949888661437, -100.17390551556768",
58,2021,OCTUBRE-DICIEMBRE,DIRECTAMENTE MUNICIPIO,450,"ALAMO, LOS FIERROS.",MATUTINO Y VESPERTINO,VIERNES,7:00am,8:30pm,"25.37964568527582, -100.12110044255473",
60,2021,OCTUBRE-DICIEMBRE,DIRECTAMENTE MUNICIPIO,381,CERCADO,MATUTINO Y VESPERTINO,VIERNES,7:00am,8:30pm,"25.431298118927394, -100.15287199656552",
62,2021,OCTUBRE-DICIEMBRE,DIRECTAMENTE MUNICIPIO,375,EL BARRIAL,VESPERTINO,SABADO,12:00pm,5:00PM,"25.470506605582532, -100.1847765576781",
63,2021,OCTUBRE-DICIEMBRE,DIRECTAMENTE MUNICIPIO,317,"LOS FRANCISCANOS, QUERUBINES, EQUINOCCIO, RANCHITO, CAMINO REAL DEL VIENTO LIBRE",VESPERTINO,SABADO,12:00pm,5:00PM,"25.50507346622545, -100.1906112309097",
65,2021,OCTUBRE-DICIEMBRE,DIRECTAMENTE MUNICIPIO,374,"PLAZA HIDALGO,  PORTALES DE SANTIAGO",VESPERTINO,SABADO,12:00pm,5:00PM,"25.426690829593483, -100.15288231611406",
70,2021,OCTUBRE-DICIEMBRE,DIRECTAMENTE MUNICIPIO,450,LOS RODRIGUEZ,VESPERTINO,SABADO,12:00pm,5:00PM,"25.477145011001895, -100.17281350494572",
71,2021,OCTUBRE-DICIEMBRE,DIRECTAMENTE MUNICIPIO,383,"CHARCO AZUL, TINACO DE LOS RODRIGUEZ, CAMINO A LA CARBONERA, CAMINO AL ABRA ENE L BARRIAL, CALLEJONES SAN JOSE.",VESPERTINO,SABADO,12:00pm,5:00PM,"25.49414075133017, -100.1931786444029",
72,2021,OCTUBRE-DICIEMBRE,DIRECTAMENTE MUNICIPIO,381,VILLA DE SANTIAGO,VESPERTINO,SABADO,12:00pm,5:00PM,"25.520603994744793, -100.20784957063111",
73,2021,OCTUBRE-DICIEMBRE,DIRECTAMENTE MUNICIPIO,426,LOS CAVAZOS,MATUTINO,DOMINGO,7:00am,12:00PM,"25.44434007988096, -100.16048613563908",
74,2021,OCTUBRE-DICIEMBRE,DIRECTAMENTE MUNICIPIO,431,EL CERCADO,MATUTINO,DOMINGO,7:00am,12:00PM,"25.402197902959685, -100.13311445019198",
1,2021,JULIO-SEPTIEMBRE,DIRECTAMENTE MUNICIPIO,431,"ANTONIO VILLALON, LAS HADAS",MATUTINO Y VESPERTINO,LUNES,7:00am,8:30pm,"25.40044871508084, -100.12385042121943",
5,2021,JULIO-SEPTIEMBRE,DIRECTAMENTE MUNICIPIO,374,VILLA DE SANTIAGO,MATUTINO Y VESPERTINO,LUNES,7:00am,8:30pm,"25.362845888677846, -100.11715200154424",
