 Folio, Ejercicio, Mes, Fecha, Dia, Hora, Tipo_de_accidente, Resolución, Origen_de_reporte, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_la_Vialidad, Georreferencia, Nota
1855,2023,MARZO,2023-03-08,2023-03-08 00:00:00,12:50:00,ESTRELLAMIENTO CON VEHÍCULO ESTACIONADO,FINIQUITADO,C4/911,SUBURBANA/RURAL,SAN JAVIER,CALLE,HIDALGO,"25.404080585731506, -100.13427375185869",
1941,2023,MARZO,2023-03-08,2023-03-08 00:00:00,14:50:00,ESTRELLAMIENTO MOVIL DE VEHÍCULO,FINIQUITADO,C4/911,SUBURBANA/RURAL,EL CERCADO,CARRETERA,CARRETERA NACIONAL KM 245,"25.405526281625512, -100.13410629386763",
1932,2023,MARZO,2023-03-10,2023-03-10 00:00:00,10:31:00,REVERSA,FINIQUITADO,C4/911,SUBURBANA/RURAL,EL ALAMO,CALLE,HIDALGO,"25.35799053301958, -100.09843660090668",
1933,2023,MARZO,2023-03-11,2023-03-11 00:00:00,19:11:00,ESTRELLAMIENTO,FINIQUITADO,C4/911,SUBURBANA/RURAL,LOS CAVAZOS,CARRETERA,CARRETERA LOS CAVAZOS SAN MATEO,"25.45215138216062, -100.16089019938207",
1856,2023,MARZO,2023-03-11,2023-03-11 00:00:00,13:34:00,SALIDA DE LA SUPERFICIE RODAMIENTO Y ESTRELLAMIENTO,FINIQUITADO,C4/911,SUBURBANA/RURAL,LA PRIMAVERA,CARRETERA,CARRETERA LOS CAVAZOS A SAN MATEO KM 6,"25.426773607583964, -100.13135605294133",
1857,2023,MARZO,2023-03-12,2023-03-12 00:00:00,22:30:00,ESTRELLAMIENTO CON OBJETO FIJO (POSTE DE MADERA),EN TRÁMITE,C4/911,SUBURBANA/RURAL,EL ALAMO,CALLE,JUAN RODRIGUEZ,"25.379395020130215, -100.11753537691662",
1924,2023,MARZO,2023-03-12,2023-03-12 00:00:00,14:00:00,CHOQUE FRONTAL,EN TRÁMITE,C4/911,SUBURBANA/RURAL,SIN DATOS,CARRETERA,CARRETERA A LAGUNA DE SANCHEZ KM 14,"25.349927707418658, -100.19087667153947",
1934,2023,MARZO,2023-03-12,2023-03-12 00:00:00,06:28:00,VOLCADURA,EN TRÁMITE,C4/911,SUBURBANA/RURAL,LOS MALEAÑOS,CALLE,ITURBIDE,"25.374504584445393, -100.11704510266873",
1926,2023,MARZO,2023-03-12,2023-03-12 00:00:00,01:46:00,ESTRELLAMIENTO CON HUIDA,EN TRÁMITE,C4/911,SUBURBANA/RURAL,LOS FIERROS,CARRETERA,CARRETERA NACIONAL KM 241+200,"25.37297399212294, -100.10668188992857",
1858,2023,MARZO,2023-03-13,2023-03-13 00:00:00,01:15:00,ESTRELLAMIENTO CON VEHÍCULOS ESTACIONADOS,EN TRÁMITE,C4/911,SUBURBANA/RURAL,EL CERCADO,CALLE,PABLO MOYA,"25.405722559511478, -100.13288890781101",
1949,2023,MARZO,2023-03-13,2023-03-13 00:00:00,16:48:00,FRONTAL,FINIQUITADO,C4/911,SUBURBANA/RURAL,LOS CAVAZOS,CARRETERA,CARRETERA LOS CAVAZOS SAN MATEO,"25.455902604625734, -100.15921125634672",
1967,2023,MARZO,2023-03-14,2023-03-14 00:00:00,17:49:00,SALIDA DE SUPERFICIE DE RODAMIENTO,FINIQUITADO,C4/911,SUBURBANA/RURAL,SIN DATOS,CARRETERA,CARRETERA LOS CAVAZOS SAN MATEO,"25.448034358747083, -100.1488458347994",
1968,2023,MARZO,2023-03-15,2023-03-15 00:00:00,12:00:00,SALIDA DE CAMINO Y ESTRELLAMIENTO,FINIQUITADO,C4/911,SUBURBANA/RURAL,LAS HUERTAS,CALLE,AV LA CORTINA,"25.455214971845532, -100.15504281649453",
1970,2023,MARZO,2023-03-16,2023-03-16 00:00:00,11:20:00,CHOQUE LATERAL,FINIQUITADO,C4/911,SUBURBANA/RURAL,EL ALAMO,CARRETERA,CARRETERA NACIONAL KM 242,"25.37561490931731, -100.10977119030433",
1953,2023,MARZO,2023-03-19,2023-03-19 00:00:00,10:39:00,ALCANCE,FINIQUITADO,C4/911,SUBURBANA/RURAL,EL BARRIAL,CARRETERA,CARRETERA NACIONAL KM 256 NTE SUR,"25.482882573907087, -100.1810159153422",
1909,2023,MARZO,2023-03-19,2023-03-19 00:00:00,11:21:00,VOLCADURA,EN TRÁMITE,C4/911,SUBURBANA/RURAL,LOS CAVAZOS,CARRETERA,CARRETERA LOS CAVAZOS SAN MATEO KM 3,"25.456684600952105, -100.16707944117448",
1986,2023,MARZO,2023-03-20,2023-03-20 00:00:00,06:31:00,ESTRELLAMIENTO,EN TRÁMITE,C4/911,SUBURBANA/RURAL,EL MANZANO,CARRETERA,CARRETERA COLA DE CABALLO KM 17,"25.36844115893076, -100.20029488988617",
1995,2023,MARZO,2023-03-22,2023-03-22 00:00:00,06:36:00,ALCANCE CON HUIDA,EN TRÁMITE,C4/911,SUBURBANA/RURAL,LA TINAJA,CARRETERA,CARRETERA LOS CAVAZOS A SAN MATEO,"25.481887669939038, -100.10561307333",
1962,2023,MARZO,2023-03-22,2023-03-22 00:00:00,16:25:00,CRUCERO,FINIQUITADO,C4/911,SUBURBANA/RURAL,LA PLAZUELA,CALLE,JUAREZ,"25.398552627332784, -100.13256379367839",
1955,2023,MARZO,2023-03-22,2023-03-22 00:00:00,17:00:00,DE CRUCERO,FINIQUITADO,C4/911,SUBURBANA/RURAL,LOS CAVAZOS,CALLE,CALLEJÓN DE LAS VACAS,"25.444400905196133, -100.16105341546641",
1961,2023,MARZO,2023-03-22,2023-03-22 00:00:00,14:40:00,ESTRELLAMIENTO,EN TRÁMITE,C4/911,SUBURBANA/RURAL,HECTOR CABALLERO,CALLE,ALONSO CHAVEZ,"25.462326374669754, -100.15168680298059",
1994,2023,MARZO,2023-03-23,2023-03-23 00:00:00,16:50:00,ESTRELLAMIENTO CON VOLCADURA,EN TRÁMITE,C4/911,SUBURBANA/RURAL,CIENEGA DE GZZ,CALLE,CARRETERA A LAGUNA DE SANCHEZ KM 25,"25.388751748317492, -100.2523681872307",
1964,2023,MARZO,2023-03-23,2023-03-23 00:00:00,21:12:00,REVERSA,EN TRÁMITE,C4/911,SUBURBANA/RURAL,SAN JOSE NORTE,CALLE,PEDRO CHAVEZ,"25.393043005290174, -100.13326481510647",
1987,2023,MARZO,2023-03-24,2023-03-24 00:00:00,16:31:00,CHOQUE FRONTAL,EN TRÁMITE,C4/911,SUBURBANA/RURAL,LOS COMALES,CARRETERA,CARRETERA COLA DE CABALLO KM 16,"25.36174176951565, -100.19186675806439",
1965,2023,MARZO,2023-03-25,2023-03-25 00:00:00,10:51:00,LATERAL CON PROYECCIÓN,FINIQUITADO,C4/911,SUBURBANA/RURAL,SAN JAVIER,CARRETERA,CARRETERA NACIONAL KM 246+800,"25.41524920510658, -100.14153236680191",
2021,2023,MARZO,2023-03-25,2023-03-25 00:00:00,14:24:00,CRUCERO,FINIQUITADO,C4/911,SUBURBANA/RURAL,LA CHUECA,CARRETERA,CARRETERA LOS CAVAZOS SAN MATEO KM 1,"25.455141476226277, -100.15336657973685",
2022,2023,MARZO,2023-03-26,2023-03-26 00:00:00,21:10:00,ALCANCE,FINIQUITADO,C4/911,SUBURBANA/RURAL,LA NOGALERA,CARRETERA,CARRETERA A LAGUNA DE SANCHEZ KM 8,"25.354542473657588, -100.16396941065327",
1990,2023,MARZO,2023-03-27,2023-03-27 00:00:00,08:10:00,CHOQUE DIVERSO,FINIQUITADO,C4/911,SUBURBANA/RURAL,VILLA CENTRO,CARRETERA,CARRETERA NACIONAL KM 249,"25.430689078911495, -100.15146585601565",
1885,2023,MARZO,2023-03-27,2023-03-27 00:00:00,12:50:00,LATERAL,EN TRÁMITE,C4/911,SUBURBANA/RURAL,SIN DATOS,CARRETERA,CARRETERA NACIONAL KM 249,"25.428431203918464, -100.15015622796042",
