 Clave_de_zona, Ejercicio, Mes, Concesionario, Numeros_de_camión, Nombres_de_asentamientos, Turno, Dias, Horario_de_inicio, Horario_de_fin, Perimetro_de_zona, Nota
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,Hacienda Del Roble 2,Vespertino,Miercoles Y Viernes,18:00:00,19:00:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z22,2021,Enero - Marzo,Red Recolector,Ctsn-03,San Isidro,Vespertino,Lunes,13:30:00,14:30:00,"25.757809, -100.280734",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z25,2021,Enero - Marzo,Red Recolector,Ctsn-11,Las Alamedas,Vespertino,Miercoles Y Viernes,15:30:00,17:00:00,"25.764158, -100.269796",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,La Nogalera 2,Vespertino,Miercoles Y Viernes,18:00:00,19:00:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z23,2021,Enero - Marzo,Red Recolector,Ctsn-06,Bosques Del Roble 2,Vespertino,Miercoles Y Viernes,17:30:00,19:00:00,"25.761814, -100.280074",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z25,2021,Enero - Marzo,Red Recolector,Ctsn-11,Mexico Lindo,Vespertino,Miercoles Y Viernes,17:00:00,19:00:00,"25.764158, -100.269796",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,La Nogalera 3,Vespertino,Miercoles Y Viernes,19:00:00,20:00:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z23,2021,Enero - Marzo,Red Recolector,Ctsn-06,Residencial Roble 1,Vespertino,Lunes,16:30:00,17:30:00,"25.761814, -100.280074",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z25,2021,Enero - Marzo,Red Recolector,Ctsn-11,Nicolas Bravo,Vespertino,Lunes,20:00:00,21:00:00,"25.764158, -100.269796",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,Portal Del Roble,Vespertino,Lunes,21:00:00,22:30:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z23,2021,Enero - Marzo,Red Recolector,Ctsn-06,Residencial Roble 5,Vespertino,Lunes,20:00:00,22:00:00,"25.761814, -100.280074",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z25,2021,Enero - Marzo,Red Recolector,Ctsn-11,Valle De Las Alamedas,Vespertino,Lunes,14:30:00,15:30:00,"25.761567, -100.262814",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,Portal Del Roble,Vespertino,Miercoles Y Viernes,17:00:00,19:00:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z23,2021,Enero - Marzo,Red Recolector,Ctsn-06,Residencial Roble 5,Vespertino,Miercoles Y Viernes,18:00:00,19:30:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z26,2021,Enero - Marzo,Red Recolector,Ctsn-09,Heroes De Mexico,Vespertino,Lunes,18:00:00,19:00:00,"25.761567, -100.262814",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z25,2021,Enero - Marzo,Red Recolector,Ctsn-11,Benito Juarez,Vespertino,Lunes,18:00:00,18:40:00,"25.764158, -100.269796",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,La Nogalera 1,Vespertino,Lunes,17:00:00,19:00:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z26,2021,Enero - Marzo,Red Recolector,Ctsn-09,Heroes De Mexico 2,Vespertino,Lunes,16:00:00,17:00:00,"25.761567, -100.262814",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z25,2021,Enero - Marzo,Red Recolector,Ctsn-11,Mira Flores 2,Vespertino,Miercoles Y Viernes,15:30:00,16:20:00,"25.764158, -100.269796",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,La Nogalera 1,Vespertino,Miercoles Y Viernes,17:00:00,18:00:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z26,2021,Enero - Marzo,Red Recolector,Ctsn-09,Heroes De Mexico 4,Vespertino,Lunes,18:00:00,20:00:00,"25.761567, -100.262814",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z25,2021,Enero - Marzo,Red Recolector,Ctsn-11,Valle De Las Alamedas,Vespertino,Miercoles Y Viernes,13:00:00,14:00:00,"25.761567, -100.262814",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z24,2021,Enero - Marzo,Red Recolector,Ctsn-08,La Nogalera 3,Vespertino,Lunes,21:00:00,22:30:00,"25.766162, -100.27514",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
