 Numero_de_identificacion,Ejercicio, Mes, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_vialidad, Pista, Juegos_de_parque, Aparatos_de_ejercicio, Cancha, Bebedores, Botes_de_basura, Cantidad_de_botes, Georreferencia, Nota
34219001 y 34219002,2022,Abril-Junio,Colonia,"Pueblo Nuevo, Parque Bicentenario",Avenida,"Rio Nilo sin número, Pueblo Nuevo",No,Si,Si,No,No,Si,37,"25.757750072087585, -100.16294087425553",
P-186,2021,Julio-Septiembre,Colonia,Mujeres Ilustres,Calle,Sofia del Bosque,No,Si,No,No,No,No,0,"25.76534600631261, -100.26206362094622",
28130001  folio 23948,2022,Abril-Junio,Colonia,"Prados de la Cieneguita, Parque  Cieneguita",Calle,"Liberia #543, Prados  de  la  Cieneguita",No,No,No,No,No,Si,14,"25.784375443394634, -100.25403496321327",
P-187,2021,Julio-Septiembre,Colonia,Noria Norte,Calle,Jalisco,No,Si,No,No,No,No,0,"25.73590833482969, -100.19211838441578",
34219001 y 34219002,2021,Enero-Marzo,Colonia,"Pueblo Nuevo, Parque Bicentenario",Avenida,"Rio Nilo sin número, Pueblo Nuevo",No,Si,Si,No,No,Si,37,"25.757750072087585, -100.16294087425553",
P-188,2021,Julio-Septiembre,Colonia,Noria Norte,Calle,Atoyac,No,Si,No,No,No,No,0,"25.73416227556939, -100.19715923558196",
P-190,2021,Julio-Septiembre,Colonia,Noria Sur,Calle,Monterrey,No,Si,No,Si,No,No,0,"25.731416839740888, -100.19133322215484",
P-191,2021,Julio-Septiembre,Colonia,Nova Apodaca,Calle,Tlaxcala,No,Si,No,No,No,Si,2,"25.79058112414255, -100.18262209196824",
P-192,2021,Julio-Septiembre,Colonia,Nova Apodaca,Calle,Monterrey,No,Si,No,Si,No,No,0,"25.79048112724126, -100.18477826009229",
P-193,2021,Julio-Septiembre,Colonia,Nova Apodaca,Calle,Hidalgo,No,Si,No,Si,No,No,0,"25.789084804876527, -100.18610911931015",
P-201,2021,Julio-Septiembre,Colonia,Nuevo las Puentes,Calle,Nuevo las Puentes,No,No,No,Si,No,No,0,"25.785820645549027, -100.25914856096155",
P-205,2021,Julio-Septiembre,Colonia,Cerradas de Santa Rosa,Calle,Verde,No,No,No,No,No,No,0,"25.75575108239056, -100.233596450696",
P-206,2021,Julio-Septiembre,Colonia,Nuevo las Puentes,Avenida,Concordia,No,Si,Si,No,No,Si,4,"25.78485211441623, -100.25919233543294",
P-207,2021,Julio-Septiembre,Colonia,Paseo Apodaca,Calle,Benjamin Argumedo,No,Si,No,Si,No,No,0,"25.813589668686372, -100.24599097179275",
P-208,2021,Julio-Septiembre,Colonia,Paseo de las Flores,Calle,Colector,No,No,No,No,No,No,0,"25.75922823089799, -100.13690129439631",
P-211,2021,Julio-Septiembre,Colonia,Paseo de las Flores,Calle,Hamburgo,No,Si,No,No,No,No,0,"25.755532880742198, -100.1355541484852",
P-216,2021,Julio-Septiembre,Colonia,Paseo de las Flores,Calle,Cordova,No,Si,No,No,No,No,0,"25.75747706456516, -100.1364948490927",
P-217,2021,Julio-Septiembre,Colonia,Paseo de las Flores,Calle,Serbia,No,No,No,No,No,No,0,"25.759320865254082, -100.1338348340134",
P-219,2021,Julio-Septiembre,Colonia,Paseo de las Flores,Calle,Zurich,No,No,No,Si,No,No,0,"25.763256204943318, -100.13663187745692",
P-224,2021,Julio-Septiembre,Colonia,Paseo de las Palmas,Calle,Onspiracion,No,Si,No,Si,No,No,0,"25.77844324603697, -100.2652000169516",
P-231,2021,Julio-Septiembre,Colonia,Portal de Huinala,Calle,Rio Missouri,No,Si,Si,Si,No,No,0,"25.7547801195056, -100.15775453000275",
P-233,2021,Julio-Septiembre,Colonia,Praderas Apodaca,Calle,Gertrudis Bocanegra,No,No,No,No,No,No,0,"25.76856383075703, -100.26012033641496",
P-235,2021,Julio-Septiembre,Colonia,Praderas Apodaca,Calle,Cartagena,No,Si,No,No,No,No,0,"25.771797894934764, -100.25791623284215",
P-236,2021,Julio-Septiembre,Colonia,Prado de los Pinos,Calle,Pino Albar,No,No,No,No,No,No,0,"25.78436321594699, -100.2445906465903",
P-237,2021,Julio-Septiembre,Colonia,Prados de la Cieneguita,Calle,Madagascar,No,Si,Si,No,No,No,0,"25.78303849476523, -100.2515479806049",
P-238,2021,Julio-Septiembre,Colonia,Prados de la Cieneguita,Calle,Liberia,Si,Si,Si,Si,No,No,0,"25.78392003533622, -100.2524384740888",
P-242,2021,Julio-Septiembre,Colonia,Los Treboles,Calle,Romero,No,Si,No,No,No,No,0,"25.762923911804297, -100.1454123382639",
P-244,2021,Julio-Septiembre,Colonia,Pueblo Nuevo,Calle,Rio Balsas,No,Si,No,Si,No,No,0,"25.758943635199028, -100.15935546992229",
P-245,2021,Julio-Septiembre,Colonia,Pueblo Nuevo,Calle,Rio Acuario,No,No,No,No,No,No,0,"25.754357191717553, -100.1655254329454",
P-247,2021,Julio-Septiembre,Colonia,Pueblo Nuevo,Calle,Rio Usumacinta,Si,No,No,No,Si,No,0,"25.75850052783025, -100.16358985160534",
P-248,2021,Julio-Septiembre,Colonia,Pueblo Nuevo,Calle,Privada Aguarico,Si,Si,Si,Si,No,No,0,"25.762533198488587, -100.17185197488428",
P-251,2021,Julio-Septiembre,Colonia,Quinta Colonial,Calle,David Alfaro,No,Si,Si,Si,No,No,0,"25.79911802327298, -100.21592482806693",
P-260,2021,Julio-Septiembre,Colonia,Residencial Apodaca,Calle,Nueva Huinala,No,Si,No,No,No,No,0,"25.791687209173205, -100.1794378382318",
P-261,2021,Julio-Septiembre,Colonia,Golondrinas,Calle,Palmas,Si,Si,No,Si,No,No,0,"25.716183810851756, -100.18061300175376",
P-262,2021,Julio-Septiembre,Colonia,Residencial Moises Saenz,Calle,Arco del Triunfo,Si,Si,No,No,No,No,0,"25.81494211593147, -100.25578393611701",
